host_rx_time,source,source_id,timestamp_us,x,y,z,vector_norm
1778161379.864332,Accel,2,67282728,-1126,-1591,-719,2077.527
1778161379.864348,Accel,2,67283704,-1130,-1591,-720,2080.044
1778161379.864354,Accel,2,67284728,-1133,-1592,-726,2084.521
1778161379.864358,Accel,2,67285726,-1135,-1593,-713,2081.884
1778161379.864361,Accel,2,67286727,-1139,-1593,-708,2082.363
1778161379.864365,Accel,2,67287704,-1141,-1593,-715,2085.846
1778161379.864368,Accel,2,67288726,-1149,-1586,-714,2084.561
1778161379.864370,Accel,2,67289726,-1154,-1580,-709,2081.057
1778161379.864373,Accel,2,67290727,-1152,-1583,-702,2079.855
1778161379.864375,Accel,2,67291727,-1158,-1592,-702,2090.032
1778161379.864478,Gyro,1,67417622,-7,-17,-43,46.765
1778161379.864481,Gyro,1,67418619,-6,-19,-45,49.214
1778161379.864484,Gyro,1,67419620,-5,-19,-43,47.276
1778161379.864487,Gyro,1,67420621,-4,-20,-41,45.793
1778161379.864489,Gyro,1,67421628,-4,-21,-40,45.354
1778161379.864492,Gyro,1,67422619,-5,-20,-42,46.787
1778161379.864494,Gyro,1,67423620,-5,-18,-44,47.802
1778161379.864496,Gyro,1,67424621,-8,-18,-42,46.390
1778161379.864499,Gyro,1,67425622,-10,-18,-40,44.989
1778161379.864502,Gyro,1,67426627,-10,-19,-39,44.520
1778161379.864602,Accel,2,67282728,-1126,-1591,-719,2077.527
1778161379.864605,Accel,2,67283704,-1130,-1591,-720,2080.044
1778161379.864608,Accel,2,67284728,-1133,-1592,-726,2084.521
1778161379.864610,Accel,2,67285726,-1135,-1593,-713,2081.884
1778161379.864613,Accel,2,67286727,-1139,-1593,-708,2082.363
1778161379.864615,Accel,2,67287704,-1141,-1593,-715,2085.846
1778161379.864618,Accel,2,67288726,-1149,-1586,-714,2084.561
1778161379.864620,Accel,2,67289726,-1154,-1580,-709,2081.057
1778161379.864622,Accel,2,67290727,-1152,-1583,-702,2079.855
1778161379.864624,Accel,2,67291727,-1158,-1592,-702,2090.032
1778161379.864723,Accel,2,67292726,-1159,-1587,-712,2090.166
1778161379.864726,Accel,2,67293727,-1150,-1582,-724,2085.522
1778161379.864728,Accel,2,67294728,-1141,-1585,-720,2081.467
1778161379.864731,Accel,2,67295703,-1143,-1584,-708,2077.684
1778161379.864733,Accel,2,67296729,-1151,-1582,-716,2083.310
1778161379.864736,Accel,2,67297730,-1144,-1588,-717,2084.363
1778161379.864738,Accel,2,67298724,-1140,-1594,-715,2086.064
1778161379.864740,Accel,2,67299726,-1142,-1595,-711,2086.555
1778161379.864743,Accel,2,67300727,-1144,-1593,-705,2084.085
1778161379.864745,Accel,2,67301728,-1149,-1590,-697,2081.853
1778161379.864787,Gyro,1,67427618,-10,-18,-40,44.989
1778161379.864790,Gyro,1,67428620,-8,-18,-41,45.486
1778161379.864792,Gyro,1,67429620,-6,-20,-40,45.122
1778161379.864872,Gyro,1,67430626,-6,-21,-38,43.829
1778161379.864875,Gyro,1,67431621,-5,-19,-36,41.012
1778161379.864878,Gyro,1,67432627,-6,-18,-37,41.581
1778161379.864880,Gyro,1,67433621,-7,-18,-38,42.626
1778161379.864882,Gyro,1,67434627,-6,-20,-39,44.238
1778161379.864885,Gyro,1,67435621,-5,-22,-38,44.193
1778161379.864887,Gyro,1,67436622,-7,-23,-39,45.815
1778161379.864989,Accel,2,67302728,-1145,-1589,-701,2080.228
1778161379.864992,Accel,2,67303728,-1142,-1593,-706,2083.326
1778161379.864994,Accel,2,67304703,-1143,-1588,-704,2079.377
1778161379.864997,Accel,2,67305728,-1139,-1576,-707,2069.045
1778161379.864999,Accel,2,67306703,-1138,-1577,-701,2067.214
1778161379.865001,Accel,2,67307729,-1145,-1584,-707,2078.444
1778161379.865004,Accel,2,67308727,-1144,-1587,-700,2077.813
1778161379.865006,Accel,2,67309727,-1136,-1586,-691,2069.631
1778161379.865009,Accel,2,67310727,-1129,-1585,-691,2065.030
1778161379.865011,Accel,2,67311728,-1128,-1583,-688,2061.945
1778161379.865105,Accel,2,67312702,-1133,-1587,-684,2066.425
1778161379.865108,Accel,2,67313702,-1132,-1586,-681,2064.117
1778161379.865111,Accel,2,67314727,-1127,-1582,-672,2055.344
1778161379.865113,Accel,2,67315728,-1123,-1582,-675,2054.137
1778161379.865116,Accel,2,67316729,-1126,-1582,-677,2056.436
1778161379.865118,Accel,2,67317704,-1131,-1583,-666,2056.357
1778161379.865121,Accel,2,67318726,-1123,-1582,-671,2052.826
1778161379.865123,Accel,2,67319727,-1119,-1587,-665,2052.548
1778161379.865126,Accel,2,67320728,-1120,-1587,-668,2054.067
1778161379.865142,Accel,2,67321703,-1123,-1583,-676,2055.236
1778161379.865234,Gyro,1,67437626,-10,-22,-39,45.880
1778161379.865236,Gyro,1,67438627,-9,-19,-39,44.306
1778161379.865239,Gyro,1,67439621,-8,-18,-39,43.692
1778161379.865241,Gyro,1,67440622,-6,-19,-39,43.795
1778161379.865243,Gyro,1,67441622,-7,-21,-38,43.977
1778161379.865245,Gyro,1,67442622,-8,-23,-37,44.294
1778161379.865248,Gyro,1,67443618,-7,-21,-36,42.261
1778161379.865250,Gyro,1,67444619,-7,-18,-36,40.853
1778161379.865253,Gyro,1,67445620,-8,-17,-35,39.724
1778161379.865255,Gyro,1,67446621,-9,-17,-36,40.817
1778161379.865355,Accel,2,67322732,-1123,-1581,-680,2055.016
1778161379.865358,Accel,2,67323701,-1123,-1584,-681,2057.655
1778161379.865360,Accel,2,67324726,-1125,-1589,-682,2062.928
